datetime,price,volume
6/27/19 9:30,274.6,50200
6/27/19 9:31,274.6,16300
6/27/19 9:32,274.6,9800
6/27/19 9:33,274.4,14200
6/27/19 9:34,274,11000
6/27/19 9:35,274.6,7700
6/27/19 9:36,274.2,23200
6/27/19 9:37,274.2,17400
6/27/19 9:38,274.6,20500
6/27/19 9:39,275,32500
6/27/19 9:40,275,5400
6/27/19 9:41,275.4,23500
6/27/19 9:42,275,6100
6/27/19 9:43,275.4,13600
6/27/19 9:44,275,5000
6/27/19 9:45,275,1700
6/27/19 9:46,275.4,21800
6/27/19 9:47,275.4,1600
6/27/19 9:48,275.8,11700
6/27/19 9:49,275.8,7000
6/27/19 9:50,275.4,24900
6/27/19 9:51,275.4,4400
6/27/19 9:52,275.5,3100
6/27/19 9:53,275.7,12200
6/27/19 9:54,275.4,23000
6/27/19 9:55,275.4,3200
6/27/19 9:56,275.5,5300
6/27/19 9:57,275.4,3700
6/27/19 9:58,275.8,25500
6/27/19 9:59,275.6,2500
6/27/19 10:00,275.8,15600
6/27/19 10:01,276,10300
6/27/19 10:02,275.8,11800
6/27/19 10:03,276,65400
6/27/19 10:04,276,19200
6/27/19 10:05,275.8,13100
6/27/19 10:06,275.6,800
6/27/19 10:07,275.7,1900
6/27/19 10:08,275.4,11000
6/27/19 10:09,276,34000
6/27/19 10:10,275.9,200
6/27/19 10:11,275.8,5800
6/27/19 10:12,275.9,2100
6/27/19 10:13,275.6,17700
6/27/19 10:14,276,3400
6/27/19 10:15,275.8,900
6/27/19 10:16,275.8,1600
6/27/19 10:17,275.6,14500
6/27/19 10:18,275.8,2900
6/27/19 10:19,275.6,12400
6/27/19 10:20,275.6,3200
6/27/19 10:21,275.5,800
6/27/19 10:22,275.2,9900
6/27/19 10:23,275.2,3400
6/27/19 10:24,275.2,2700
6/27/19 10:25,275.2,2800
6/27/19 10:26,274.8,22800
6/27/19 10:27,275,4800
6/27/19 10:28,275.2,2000
6/27/19 10:29,275,2400
6/27/19 10:30,275,2200
6/27/19 10:31,275.4,8900
6/27/19 10:32,275.6,19300
6/27/19 10:33,275.6,500
6/27/19 10:34,275.8,1600
6/27/19 10:35,275.8,4800
6/27/19 10:36,275.6,2100
6/27/19 10:37,275.7,1500
6/27/19 10:38,275.831,24600
6/27/19 10:39,275.6,3800
6/27/19 10:40,275.4,5600
6/27/19 10:41,275.6,2000
6/27/19 10:42,275.8,5200
6/27/19 10:43,275.4,600
6/27/19 10:44,275.6,2900
6/27/19 10:45,275.4,7000
6/27/19 10:46,275.6,28700
6/27/19 10:47,275.6,2800
6/27/19 10:48,275.4,500
6/27/19 10:49,275.6,1500
6/27/19 10:50,275.6,1600
6/27/19 10:51,275.8,3700
6/27/19 10:52,275.8,300
6/27/19 10:53,275.6,10600
6/27/19 10:54,275.6,2800
6/27/19 10:55,275.8,900
